label,teks,emotion
0,menurutku mungkin membuat mereka merasa bodoh tapi itu akan sangat bermanfaat,Sadness
0,"saya bergabung dengan gereja lds, saya akui merasa agak malu dengan latar belakang keluarga saya mengingat cita-cita mormon yang muncul di hadapan saya",Sadness
3,"harus kuakui aku tak ingin memeluknya bukan karena aku marah padanya, tapi karena aku begitu muak pada diriku sendiri, aku tak merasa pantas mendapatkan kasih sayang darinya saat itu.",Anger
0,aku benci kalau aku masih bisa merasakan jika ada saraf yang rusak cukup parah atau sering kali kehilangan sensasi dan akhirnya mati dan kamu menjadi mati rasa di sana kenapa emosi tidak bisa sama,Sadness
1,aku sebenarnya merasa sedikit sombong,Joy
2,saya pergi tanpa penjelasan nyata atau perpisahan dan saya merasa berhutang budi kepada anda para pengunjung setia situs ini dengan kebenaran,Love
1,saya hampir selalu mendapatkan sup mereka hari ini untuk sisi saya yang selalu super lezat tetapi salad dan kacang hijau goreng mereka juga berada di urutan teratas daftar saya jika saya ingin bertualang,Joy
1,saya merasa dihormati atas apa yang saya lakukan,Joy
5,aku punya perasaan yang sangat bagus tentang lagu ini dan sama sekali tidak terkejut jika satu tahun atau lebih dari sekarang itu adalah lagu favoritku dari keseluruhan proyek pada saat itu.,Surprise
0,aku merasa benar-benar dilanggar seolah-olah dia telah membuat lubang di kepalaku dan tidak hanya memasuki pikiran dan perasaanku tapi juga mengambilnya dariku dan mengklaimnya untuk dirinya sendiri yang merampas milikku yang paling pribadi.,Sadness
3,aku merasa bukunya terburu-buru dan diselesaikan dengan cepat dan sookie berakhir dengan sam entah bagaimana dalam percakapan singkat yang tidak masuk akal bagiku,Anger
0,saya merasa sedikit sedih karena saya sudah menua di luar a href http tvtropes,Sadness
4,"aku dilahirkan dan dibesarkan sebagai seorang katolik dan sejak kecil aku benci pergi ke gereja, duduk dalam misa yang membosankan, berjalan ke dalam gereja dan tidak merasakan apa pun selain rasa takut dan tidak ada apa pun di sana yang membuatku percaya pada tuhan.",Fear
1,saya akan menahan perasaan saya tentang hal itu sampai buku ketiga untuk melihat bagaimana penyelesaiannya,Joy
0,saya merasa filter ini telah digunakan dan disalahgunakan secara berlebihan. saya harus mengakui bahwa menggunakannya biasanya dapat membuat gambar anda terasa lebih artistik atau setidaknya membantu menyembunyikan segala ketidaksempurnaan pada gambar asli anda.,Sadness
2,aku mendengarnya membuatku merasa cukup lembut,Love
4,aku merasa tegang dan khususnya kejam dan bajingan. aku memeriksa buku alamat email pribadiku dan menghapus orang-orang yang sudah lama tidak kudengar kabarnya,Fear
0,aku lelah merasa tidak berhasil,Sadness
1,"aku harap kamu merasa lebih baik, erik",Joy
5,saya peduli dengan perasaan dan pemikiran orang serta kehidupan mereka orang yang sangat penasaran,Surprise
5,i must admit i feel a bit weird and look for any nonsense to snap and make look pretty with one of their filters,Surprise
4,aku bilang padanya kalau kami berdua masih berteman walaupun mungkin kami tidak bisa sedekat dulu karena aku tidak ingin membuatnya merasa tidak nyaman lagi.,Fear
2,aku merasa banyak orang di gereja yang menyembunyikan kehancurannya karena takut tidak diterima oleh tuhan atau umat di gereja.,Love
0,saya merasa tertekan karena saya tidak berada di tempat yang seharusnya menjadi orezi,Sadness
1,"aku merasa kuat untukku dan pendakiannya lumayan, daya tahan kekuatanku masih terasa kira-kira mungkin kurang",Joy
0,saya punya banyak sekali gambar tetapi saya tidak benar-benar mendedikasikan satu postingan untuk itu dan sekarang sudah hampir sebulan berlalu dan saya merasa ketinggalan perahu,Sadness
1,"saya merasa lebih nyaman dan walaupun saya masih merasa bahwa saya melakukan pekerjaan yang dapat diterima, selalu ada cara untuk meningkatkan manajemen dan implementasi saya",Joy
